Carapace data used for phylogenetic analysis,Mass data used for phylogenetic analysis,Max mass used?,Max SCL used?,Captive?,Combined populations?,Genus,Species,Common Name,Family,M Mass (g),F Mass (g),N,Locality,M SCL (mm),F SCL (mm),M Max Mass (g),F Max Mass (g),Pop Max Mass (g),M Max SCL (mm),F Max SCL (mm),Pop Max SCL (mm),KWR notes,Mass Source,SCL Original Source,SCL Dataset Source,secondary mass source,,,,,,
,,,,,,Pyxis,arachnoides,,Testudinidae,,,,,116,122,,,,,,,,,"Ernst et al., 2007; Gosnell et al., 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,yes,,,,,Pyxis,arachnoides ssp arachnoides,Madagascan spider tortoise,Testudinidae,455,398.1,"78M, 158","Anakao, Atsimo-Andrefana region, Madagascar",,,736,900,900,,,150,everything but mean masses estimated from boxplot,"Walker, R.C.J., A.J. Woods-Ballard, and C.E. Rix. 2007. Population Density and Seasonal Activity of the Threatened Madagascar Spider Tortoise (Pyxis arachnoides arachnoides) of the Southern Dry Forests; South West Madagascar. African Journal of Ecology 46(1): 67-73.",,,,,,,,,
,yes,yes,,,,Pyxis,planicauda,Malagasy Flat-tailed tortoise,Testudinidae,,,,Madagascar,,,400,670,,130,150,,,"Gibson, R.C., and K.R. Buley. 2004. Biology, Captive Husbandry, and Conservation of the Malagasy Flat-tailed Tortoise, Pyxis planicauda Grandidier, 1867. Herpetological Review 35(2): 111-116. ",,,,,,,,,
yes,,,,,,Pyxis,planicauda,Malagasy Flat-tailed tortoise,Testudinidae,360,420,,Madagascar,126,132,410,670,670,134,148,148,,"Pedrono, M., and L.L. Smith. 2013. Overview of the Natural History of Madagascar's Endemic Tortoises and Freshwater Turtles: Essential Components for Effective Conseravation. Chelonian Research Monographs 6: 59-66.",,,,,,,,,
,yes,,,,,Rheodytes,leukops,Fitzroy river turtle,Chelidae,1299,1416,"15M, 15F","Connors River, central Queensland, Australia",238,239,,,,,,,,"Gordos, M.A., C.E. Franklin, C.J. Limpus, and G. Wilson. 2004. Blood-respiratory and Acid-base Changes During Extended Diving in the Bimodally Respiring Freshwater Turtle Rheodytes leukops. Journal of Comparative Physiology B 174: 347-354.",,,,,,,,,
,,,,,,Rheodytes,leukops,,Chelidae,,,"~ 37M, F~ 37",,262,262,,,,,,,,,Cann and Legler 1994,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Rheodytes ,leukops,,Chelidae,,,,,246,250,,,,,,,,,"Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Rhinemys,rufipes,,Chelidae,,,"42M, F25",,230,250,,,,,,,,,Magnusson et al. 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Rhinoclemmys,annulata,,Geoemydidae,,,"~ 54M, F~ 54",,202,204,,,,,,,,,Ernst 1978,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Rhinoclemmys,areolata,,Geoemydidae,,,"~ 85M, F~ 85",,188,206,,,,,,,,,Ernst 1978,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Rhinoclemmys,diademata,,Geoemydidae,,,,,165,203,,,,,,,,,"Pritchard & Trebbau, 1984","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Rhinoclemmys,diademata,,Geoemydidae,,,"30M, F11",,187,254,,,,,,,,,Pritchard and Trebbau 1984,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Rhinoclemmys,funerea,black wood turtle,Geoemydidae,3231.7,2851,"18M, 26F","Provinces of Limon, Puntarenas, and Alajuela, Costa Rica",279.2,248.9,4750,6700,6700,309,330,330,,"Merchan, M. 2003. Contribucion al conocimiento de la biologia de la tortuga negra (Rhinoclemmys funerea) y la tortuga roya (R. pulcherrima manni) en Costa Rica. Tesis de Doctorado, Universidad Complutense de Madrid.",,,,,,,,,
yes,,,,,,Rhinoclemmys,funerea,,Geoemydidae,,,"~ 22M, F~ 22",,325,282,,,,,,,,,Ernst 1978,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Rhinoclemmys,melanosterna,,Geoemydidae,,,"~ 16M, F~ 16",,251,290,,,,,,,,,Ernst 1978,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Rhinoclemmys,nasuta,large-nosed wood turtle,Geoemydidae,407,772,,northwest Ecuador and Columbia,140,160,,,,198,228,228,"CL are sizes at maturity, not averages","Carr, J.L., and A. Giraldo. 2009. Rhinoclemmys nasuta (Boulenger 1902) - Large-nosed Wood Turtle, Chocoan River Turtle. Chelonian Research Monographs 5: 34.1-34.6.",,,,,,,,,
yes,,,,,,Rhinoclemmys,nasuta,large-nosed wood turtle,Geoemydidae,392.15,774.38,"53M, 71F","Palm Island, Insular Region, Valle del Cauca Department, Colombia",149.32,180.54,,,,,,,,"Garces-Restrepo, M.F., A. Giraldo, and J.L. Carr. 2008. Population Structure, Morphometric Variation and Sexual Dimorphism of Rhinoclemmys nasuta (Testudines: Geoemydidae) from Two Localities on the Colobian Pacific Coast. Boletin Cientifico, Museo de Historia Natural 17(2): 159-170.",,,,,,,,,
,,,,,,Rhinoclemmys,nasuta,large-nosed wood turtle,Geoemydidae,511.11,882.6,"9M, 15F","Playa Chucheros, Bahia Malaga, Valle del Cauca Department, Colombia",158.69,186.83,,,,,,,,"Garces-Restrepo, M.F., A. Giraldo, and J.L. Carr. 2008. Population Structure, Morphometric Variation and Sexual Dimorphism of Rhinoclemmys nasuta (Testudines: Geoemydidae) from Two Localities on the Colobian Pacific Coast. Boletin Cientifico, Museo de Historia Natural 17(2): 159-170.",,,,,,,,,
,,,,,,Rhinoclemmys,nasuta,,Geoemydidae,,,,,133.2,178.7,,,,,,,,,"Pérez & Alegría, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Rhinoclemmys,nasuta,,Geoemydidae,,,"?M, F?",,196,220,,,,,,,,,Ernst and Barbour 1989,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Rhinoclemmys,pulcherrima,,Geoemydidae,,,,,153,179,,,,,,,,,"Hidalgo, 1982","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Rhinoclemmys,pulcherrima,,Geoemydidae,,,"~ 72M, F~ 72",,201,248,,,,,,,,,Pritchard and Trebbau 1984,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Rhinoclemmys,pulcherrima ssp manni,painted wood turtle,Geoemydidae,494.3,944.6,"28M, 68F","Provinces of Limon, Puntarenas, and Alajuela, Costa Rica",139.2,167.1,800,1525,1525,166,207,207,,"Merchan, M. 2003. Contribucion al conocimiento de la biologia de la tortuga negra (Rhinoclemmys funerea) y la tortuga roya (R. pulcherrima manni) en Costa Rica. Tesis de Doctorado, Universidad Complutense de Madrid.",,,,,,,,,
,,,,,,Rhinoclemmys,punctularia,,Geoemydidae,,,,,176.5,160.4,,,,,,,,,"Paolillo, 1985","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Rhinoclemmys,punctularia,,Geoemydidae,,,"~ 73M, F~ 73",,201,205,,,,,,,,,Ernst 1978,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,,,,,,Rhinoclemmys,rubida,,Geoemydidae,,,"~ 39M, F~ 39",,230,179,,,,,,,,,Ernst 1978,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Sacalia,quadriocellata,four-eyed turtle,Geoemydidae,221.27,284.95,"7M, 8F","Qiongzhong, Hainan Island, China",120.24,130.71,241.8,365.7,365.7,126.4,140.1,140.1,,"Liu, Y., H. Shi, J. Wang, R.W. Murphy, M. Hong, C. Yun, Z. Wang, B. He, and L. Wang. 2009. Activity Rhythms and Time Budget of Sacalia quadriocellata in Captivity. Herpetological Journal 19: 163-172.",,,,,,,,,
yes,,,yes,,,Sacalia,quadriocellata,,Geoemydidae,,,,,,,,,,134,152,,,,"De Bruin & Artner, 1999","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Sacalia,quadriocellata,,Geoemydidae,,,"~ 40M, F~ 40",,122,132,,,,,,,,,De Bruin and Artner 1999,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Siebenrockiella,leytensis,Philippine forest turtle,Geoemydidae,1799.5,1081.1,"76M, 49F","Palawan Islands (Palawan Pleistocene Aggregate Island Complex), Philippines",223.5,190.6,3580,1400,3580,299,212,299,,"Diesmos, A.C., J.R. Buskirk, S. Schoppe, M.L.L. Diesmos, E.Y. Sy, and R.M. Brown. 2012. Siebenrockiella leytensis (Taylor 1920) - Palawan Forest Turtle, Philippine Forest Turtle. Chelonian Research Monographs 5: 66.1-66.9.",,,,,,,,,
yes,,,,,,Staurotypus,triporcatus,,Kinosternidae,,,"249M, F352",,346,372,,,,,,,,,Vogt (personal comm.),"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Sternotherus,carinatus,Razor-backed musk turtle,Kinosternidae,280,180,"1M, 1F",Oklahoma,118.61,92.29,,,,,,,,"Atkinson, C.L. 2012. Sternotherus carinatus (Razor-backed musk turtle). Reproduction. Herpetological Review 43(4):639-640.",,,,,,,,,
,,,,,,Sternotherus,carinatus,Razor-backed musk turtle,Kinosternidae,269,227,"12M, 23F","Garland, Montgomery, and Saline counties, Arkansas",124.6,115.9,408,348,408,155,155,155,,"Iverson, J.B. 2002. Reproduction in Female Razorback Musk Turtles (Sternotherus carinatus: Kinosternidae). The Southwestern Naturalist 47(2): 215-224.",,,,,,,,,
,yes,,,,,Sternotherus,carinatus,Razor-backed musk turtle,Kinosternidae,205,159,"50M, 56F","McCurtain County, Oklahoma",111.2,102.3,294,238,294,128,121,128,,"Iverson, J.B. 2002. Reproduction in Female Razorback Musk Turtles (Sternotherus carinatus: Kinosternidae). The Southwestern Naturalist 47(2): 215-224.",,,,,,,,,
,,,,,,Sternotherus,carinatus,,Kinosternidae,,,,,113.8,109.5,,,,,,,,,"Gibbons & Lovich, 1990; Iverson, 2002","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Sternotherus,carinatus,,Kinosternidae,,,"?M, F?",,128,121,,,,,,,,,Iverson 2002,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,yes,,,,,Sternotherus,depressus,Flattened musk turtle,Kinosternidae,110,84,~340,Alabama,89,83,,,,,,,,"Bailey, K.A., and C. Guyer. 1998. Demography and population status of the flattened musk turtle, Sternotherus depressus, in the Black Warrior River Basin of Alabama. Chelonian Conservation and Biology 3(1):77-83.",,,,,,,,,
,,,,,,Sternotherus,depressus,,Kinosternidae,,,,,74.2,83.8,,,,,,,,,"Gibbons & Lovich, 1990; Ernst et al., 2007","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Sternotherus,depressus,,Kinosternidae,,,"18M, F26",,94,107,,,,,,,,,Iverson 1991,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
yes,yes,,,,,Sternotherus,minor,loggerhead musk turtle,Kinosternidae,231.7,180.7,"34M, 24F","Rainbow River, Marion County, Florida",110.8,103.3,,,,,,134.1,,"Pfaller, J.B. 2009. Bite-Force Generation and Feeding Biomechanics in the Loggerhead Musk Turtle, Sternotherus minor: Implications for the Ontogeny of Performance. Master's Thesis. Florida State University.",,,,,,,,,
,,,,,,Sternotherus,minor,,Kinosternidae,,,"310M, F341",,124,133,,,,,,,,,Iverson 1977,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Sternotherus,minor ssp peltifer,stripe-necked musk turtle,Kinosternidae,142.4,174.4,"5M, 5F","Whiteoak Creek, Humphreys County, Tennessee",,,169,237,237,,,,,"Ennen, J.R., and A.F. Scott. 2008. Diel Movement Behavior of the Stripe-necked Musk Turtle (Sternotherus minor peltifer) in Middle Tennessee. The American Midland Naturalist 160(2): 278-288.",,,,,,,,,
,yes,,,,,Sternotherus,odoratus,common musk turtle,Kinosternidae,178,169,"64M, 35F","Lake Matoaka, Williamsburg (independent city, no county), Virginia",106,102,,,,,,,,"Lewis, C.H. S.F. Molloy, R.M. Chambers, and J. Davenport. 2007. Response of common musk turtles (Stenotherus odoratus) to intraspecific chemical cues. J. Herpetology 41:349-353.",,,,,,,,,
,,,,,,Sternotherus,odoratus,musk turtles,Kinosternidae,136.6,161.8,"82M, 72F","Savannah River Plant and Capers Island, South Carolina",96.4,98.5,,,,,,,,"Congdon, J.D., J.L. Greene, and J.W. Gibbons. 1986. Biomass of Freshwater Turtles: A Geographic Comparison. American Midland Naturalist 115(1): 165-173.",,,,,,,,,
yes,,,,,,Sternotherus,odoratus,,Kinosternidae,,,,,88.7,89.9,,,,,,,,,"Gibbons & Lovich, 1990; Ewert & Nelson, 1991","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Sternotherus,odoratus,,Kinosternidae,,,"475M, F176",,114,108,,,,,,,,,Holinka et al. 2003,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Stigmochelys,pardalis,Leopard Tortoise,Testudinidae,10500,12200,,"Mountain Zebra National Park, Eastern Cape Province, South Africa",,,18400,16400,,,,,,"McMaster, M., Downs, C. 2006. Population Structure and Density of Leopard Tortoises (Geochelone Pardalis) on Farmland in the Nama-karoo. Journal of Herpetology 40(4):495-502. ",,,,,,,,,
,yes,,,,,Stigmochelys,pardalis,leopard turtle,Testudinidae,8000,13400,"14M, 22F","De Aar District, Nama-Karoo biome, South Africa",392,439.82,,,,,,,,"McMaster, M.K., and C.T. Downs. 2009. Home Range and Daily Movement of Leopard Tortoises (Stigmochelys pardalis) in the Nama-Karoo, South Africa. Journal of Herpetology 43(4): 561-569.",,,,,,,,,
,,,,,,Stigmochelys,pardalis,leopard tortoise,Testudinidae,7600,15200,"32M, 43F","De Aar District, Nama-Karoo biome, South Africa",354,428,15900,18800,18800,470,495,495,,"McMaster, M.K., and C.T. Downs. 2006. Population Structure and Density of Leopard Tortoises (Geochelone pardalis) on Farmland in the Nama-Karoo. Journal of Herpetology 40(4): 495-502.",,,,,,,,,
,,,,,,Stigmochelys,pardalis,leopard tortoise,Testudinidae,27200,24050,26,Somalia,,,,,,,,,,"Lambert, M.R.K. 1995. On geographical size variation, growth, and sexual dimorphism of the leopard tortoise, Geochelone pardalis, in Somaliland. Chelonian Conservation and Biology 1:269-278.",,,,,,,,,
,,,,,,Stigmochelys,pardalis,Leopard tortoise,Testudinidae,3524,4910,"16M, 16F","Mlawula Nature Reserve, northeast Swaziland",280,286,5000,6500,6500,300,320,320,,"Monadjem, A., R.A. McCleery, and B.A. Collier. 2013. Activity and Movement Patterns of the Tortoise Stigmochelys pardalis in a Subtropical Savanna. Journal of Herpetology 47(2): 237-242.",,,,,,,,,
,,,,,,Stigmochelys,pardalis,leopard tortoises,Testudinidae,4712.9,7775,"24M, 30F","Franklin Nature Reserve, Bloemfontein city, Free State, South Africa",,,12200,14800,14800,,,,,"Douglas, R.M., and M. Rall. 2006. Seasonal Shelter Selection by Leopard Tortoises (Geochelone pardalis) in the Franklin Nature Reserve, Free State, Africa. Chelonian Conservation and Biology 5(1): 121-129.",,,,,,,,,
,,,,,,Stigmochelys,pardalis,leopard tortoises,Testudinidae,4770,8640,,,,,,,,,,,,"Douglas, R.M., and M. Rall. 2006. Seasonal Shelter Selection by Leopard Tortoises (Geochelone pardalis) in the Franklin Nature Reserve, Free State, Africa. Chelonian Conservation and Biology 5(1): 121-129.",,,,,,,,,
,,,,,,Stigmochelys,pardalis,leopard tortoises,Testudinidae,6900,10400,,,,,,,,,,,,"Douglas, R.M., and M. Rall. 2006. Seasonal Shelter Selection by Leopard Tortoises (Geochelone pardalis) in the Franklin Nature Reserve, Free State, Africa. Chelonian Conservation and Biology 5(1): 121-129.",,,,,,,,,
,,,,,,Stigmochelys,pardalis,leopard tortoises,Testudinidae,10460,12170,,,,,,,,,,,,"Douglas, R.M., and M. Rall. 2006. Seasonal Shelter Selection by Leopard Tortoises (Geochelone pardalis) in the Franklin Nature Reserve, Free State, Africa. Chelonian Conservation and Biology 5(1): 121-129.",,,,,,,,,
yes,,,,,,Stigmochelys,pardalis,leopard tortoises,Testudinidae,7600,15200,,,250,300,,,,,,,CL are approximate,"Douglas, R.M., and M. Rall. 2006. Seasonal Shelter Selection by Leopard Tortoises (Geochelone pardalis) in the Franklin Nature Reserve, Free State, Africa. Chelonian Conservation and Biology 5(1): 121-129.",,,,,,,,,
,,,,,,Stigmochelys,pardalis,,Testudinidae,,,,,240.5,300.3,,,,359,408.5,,,,"Kabigumila, 1998; Hailey & Coulson, 1999","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Stigmochelys,pardalis,,Testudinidae,,,"15M, F24",,650,654,,,,,,,,,Lambert 1995,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Terrapene,carolina,eastern box turtle,Emydidae,401,310,~50,Maryland,,,,,,,,,,"Busby, T. 1999. A two-year survey of box turtles in Lake Needwood Park, Maryland. Pp. 53-54 in Swarth, C.W., W.M. Roosenberg, and E. Kiviat (eds), Conservation and ecology of turtles of the mid-Atlantic region. Bibliomania! Salt Lake City, UT.",,,,,,,,,
,,,,,,Terrapene,carolina,,Emydidae,,,"522M, F329",,166,153,,,,,,,,,Dodd 1997,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Terrapene,carolina bauri,Florida Box Turtle,Emydidae,546.9,439,121,"Volusia County, FL",151,132,,,,,,,,"Pilgrim, M.A., T.M. Farrell, & P.G. May. 1997. Population structure, activity, and sexual dimorphism in a central Florida population of box turtles, Terrapene carolina bauri. Chelonian Conservation and Biology 2:483-488.",,,,,,,,,
,,,,,,Terrapene,carolina ssp. Bauri,Florida Box Turtle,Emydidae,432.9,444.6,"521M, 325F","Egmont Key island, Tampa Bay, Florida 27°36'04""N 82°45'40""W",,,,,,,,,,"Dodd, C.K. Jr. 1998. Biomass of an Island Population of Florida Box Turtles (Terrapene carolina bauri). Journal of Herpetology 32(1): 150-152. ",,,,,,,,,
yes,yes,,,,,Terrapene,carolina ssp. bauri,common box turtle,Emydidae,634.62,593.15,"26M, 46F","Big Pine Key, Florida Keys islands, Florida",146.9,134.1,,,,,,,,"Verdon, E., and M.A. Donnelly. 2005. Population Structure Florida Box Turtles (Terrapene carolina bauri) at the Southernmost Limit of their Range. Journal of Herpetology 39(4): 572-577.",,,,,,,,,
,,,,,,Terrapene,coahuila,,Emydidae,,,"70M, F94",,144,114,,,,,,,,,Brown 1971,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Terrapene,ornata,,Emydidae,,,"44M, F45",,160,160,,,,,,,,,St. Clair 1998,"Halamkova, L., T.A. Langen, and J.A. Schulte II. 2012. Patterns of Sexual Size Dimorphism in Chelonia. Biological Journal of the Linnean Society 108(2): 396-419.",,,,,,,
,,,,,,Terrapene ,carolina,,Emydidae,,,,,136.4,137.7,,,,235,198,,,,"Gibbons & Lovich, 1990; Dodd, 1997; Ernst et al., 1998; St Clair, 1998; Jackson & Brechtel, 2006; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Terrapene ,coahuila,,Emydidae,,,,,122.3,112,,,,159,168,,,,"Iverson, 1982; Tonge, 1987; Gibbons & Lovich, 1990","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Terrapene ,mexicana ssp yucatana,,Emydidae,,,,,,,,,,160,155,,,,"Buskirk, 1994","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Terrapene ,nelsoni,,Emydidae,,,,,141.5,136.9,,,,,,,,,"Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
yes,,,,,,Terrapene ,ornata,,Emydidae,,,,,108.5,114.7,,,,154,154,,,,"Gibbons & Lovich, 1990; Ewert & Nelson, 1991; St Clair, 1998; Stephens & Wiens, 2009","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Testudo,graeca,Mediterranean spur-thighed tortoise,Testudinidae,672,1426,40,Morocco,,,,,,,,,,"Bayley, J.R., and A.C. Highfield. 1996. Observations on ecological changes threatening a population of Testudo graeca graeca in the Souss Valley, southern Morocco. Chelonian Conservation and Biology 2(1):36-42.",,,,,,,,,
,yes,,,,,Testudo,graeca,Mediterranean tortoise,Testudinidae,1850,2100,~60,"Black Sea Region, western Caucasus",,,,,,,,,,"Inozemtsev, A.A., & S.L. Pereshkolnik. 1994. Status and conservation prospects of Testudo graeca L. inhabiting the Black Sea Coast of the Caucasus. Chelonian Conservation and Biology 1:151-158.",,,,,,,,,
,,,,,,Testudo,graeca,Greek Tortoise,Testudinidae,418.4,762,"130M,115F",southern Morocco,125,147.1,,,,,,,,"Kaddour, K.B., E.H. El Mouden, T. Slimani, X. Bonnet, and F. Lagarde. 2008. Sexual dimorphism in the Greek Tortoise: A test of the body shape hypothesis. Chelonian Conservation and Biology 7(1):21-27.",,,,,,,,,
,,,,,,Testudo,graeca,Mediterranean spur-thighed tortoise,Testudinidae,1159,1535,444,Southern Greece,178.2,194.6,,,,,,,note: Some turtles too big to weigh (minor),"Williemsen, R.E., and A. Hailey. 2003. Sexual Dimorphism of Body Size and Shell Shape in European Tortoises. Journal of Zoology London 260: 353-365.",,,,,,,,,
,,,,,,Testudo,graeca,,Testudinidae,,,,,142.1,164.3,,,,197.6,223,,,,"Carretero et al., 2005; Bonin et al., 2006","Ceballos, C.P., D.C. Adams, J.B. Iverson, and N. Valenzuela. 2013. Phylogenetic Patterns of Sexual Size Dimorphism in Turtles and Their Implications for Rensch's Rule. Evolutionary Biology 40: 194-208.",,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,671.93,935.87,"15M, 30F",Montenegro,142.4,158.94,1350,1420,1420,182,188,188,,"Ljubisavlievics, K., G. Dzukic, T.D. Vukov , M.L. Kalezic. 2012. Morphological variability of the Hermann's tortoise (Testudo hermanni) in the Central Balkans. Acta Herpetologica 7(2): 253-262.",,,,,,,,,
,,,,,,Testudo,hermanni,Hermann's tortoise,Testudinidae,1161.67,1747.44,"36M, 36F",Serbia,177.65,209.36,1685,2790,2790,208,247,247,,"Ljubisavlievics, K., G. Dzukic, T.D. Vukov , M.L. Kalezic. 2012. Morphological variability of the Hermann's tortoise (Testudo hermanni) in the Central Balkans. Acta Herpetologica 7(2): 253-262.",,,,,,,,,
