"","class","order","family","species","AaM","longevity","juvMort","adMort","svl","fecundity","birth.svl","mass","Terr","AdTerr","IF","repmode","na_count"
"104","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinion kais",NA,NA,NA,NA,15.89999962,NA,NA,49.90000153,"0","0",0,0,6
"105","Actinopterygii","Cypriniformes","Cyprinidae","Crossocheilus burmanicus",NA,NA,NA,NA,17.79999924,NA,NA,50,"0","0",0,0,6
"106","Actinopterygii","Perciformes","Gobiidae","Acentrogobius caninus",NA,NA,NA,NA,18.29999924,NA,NA,51.59999847,"0","0",0,0,6
"107","Actinopterygii","Siluriformes","Loricariidae","Ancistrus taunayi",NA,NA,NA,NA,11.89999962,NA,NA,52.29999924,"0","0",0,0,6
"108","Actinopterygii","Perciformes","Cichlidae","Biotodoma cupido",NA,NA,NA,NA,11.69999981,NA,NA,55.31999969,"0","0",0,0,6
"109","Actinopterygii","Characiformes","Curimatidae","Cyphocharax festivus",NA,NA,NA,NA,16.70000076,NA,NA,56,"0","0",0,0,6
"110","Actinopterygii","Clupeiformes","Engraulidae","Anchovia macrolepidota",NA,NA,NA,NA,25,NA,NA,57.40000153,"0","0",0,0,6
"111","Actinopterygii","Clupeiformes","Clupeidae","Alosa tanaica",NA,NA,NA,NA,24.60000038,NA,NA,59,"0","0",0,0,6
"112","Actinopterygii","Cypriniformes","Cyprinidae","Alburnus alburnus",2.25,NA,NA,0.307692307692308,25,4918.75,NA,60,"0","0",0,0,3
"113","Actinopterygii","Perciformes","Cichlidae","Diplotaxodon limnothrissa",NA,NA,NA,NA,15.39999962,NA,NA,60,"0","0",0,0,6
"114","Actinopterygii","Characiformes","Curimatidae","Cyphocharax gouldingi",NA,NA,NA,NA,15.80000019,NA,NA,60.81999969,"0","0",0,0,6
"115","Actinopterygii","Perciformes","Gobiidae","Chaeturichthys stigmatias",NA,NA,NA,NA,28.20000076,NA,NA,61.61999893,"0","0",0,0,6
"116","Actinopterygii","Characiformes","Curimatidae","Cyphocharax stilbolepis",NA,NA,NA,NA,17,NA,NA,62,"0","0",0,0,6
"117","Actinopterygii","Siluriformes","Auchenipteridae","Auchenipterichthys thoracatus",NA,NA,NA,NA,13.80000019,43,NA,62.38999939,"0","0",1,0,5
"118","Actinopterygii","Scorpaeniformes","Synanceiidae","Choridactylus multibarbus",NA,NA,NA,NA,14,NA,NA,64,"0","0",0,0,6
"119","Actinopterygii","Characiformes","Parodontidae","Apareiodon vittatus",NA,NA,NA,NA,14.5,NA,NA,64.69999695,"0","0",0,0,6
"120","Actinopterygii","Clupeiformes","Engraulidae","Anchoa spinifer",NA,NA,NA,NA,24,NA,NA,66.30000305,"0","0",0,0,6
"121","Actinopterygii","Characiformes","Hemiodontidae","Bivibranchia fowleri",NA,NA,NA,NA,19.20000076,NA,NA,68,"0","0",0,0,6
"122","Actinopterygii","Cypriniformes","Cobitidae","Cobitis bilseli",NA,NA,NA,NA,23.5,NA,NA,68,"0","0",0,0,6
"123","Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax",NA,NA,NA,NA,24.79999924,NA,NA,68,"0","0",0,0,6
"124","Actinopterygii","Characiformes","Characidae","Astyanax fasciatus",NA,NA,NA,NA,17.10000038,NA,NA,69.69999695,"0","0",NA,0,7
"125","Actinopterygii","Characiformes","Characidae","Chalceus epakros",NA,NA,NA,NA,17.39999962,NA,NA,70,"0","0",NA,0,7
"126","Actinopterygii","Characiformes","Chilodontidae","Caenotropus labyrinthicus",NA,NA,NA,NA,18.60000038,NA,NA,70.12000275,"0","0",0,0,6
"127","Actinopterygii","Characiformes","Chilodontidae","Chilodus punctatus",NA,NA,NA,NA,18,NA,NA,70.5,"0","0",0,0,6
"128","Actinopterygii","Pleuronectiformes","Paralichthyidae","Cyclopsetta chittendeni",NA,NA,NA,NA,32,NA,NA,76,"0","0",0,0,6
"129","Actinopterygii","Perciformes","Gerreidae","Diapterus rhombeus",NA,NA,NA,NA,40,5500,NA,76.30000305,"0","0",0,0,5
"130","Actinopterygii","Characiformes","Characidae","Charax metae",NA,NA,NA,NA,13.10000038,NA,NA,76.80000305,"0","0",NA,0,7
"131","Actinopterygii","Perciformes","Sciaenidae","Ctenosciaena gracilicirrhus",NA,NA,NA,NA,21,NA,NA,77.19999695,"0","0",0,0,6
"132","Actinopterygii","Cypriniformes","Cyprinidae","Barbodes lateristriga",NA,NA,NA,NA,18.60000038,NA,NA,77.5,"0","0",0,0,6
"133","Actinopterygii","Siluriformes","Callichthyidae","Callichthys callichthys",NA,NA,NA,NA,17,NA,NA,80,"0","0",0,0,6
"134","Actinopterygii","Perciformes","Cichlidae","Crenicichla tendybaguassu",NA,NA,NA,NA,15.19999981,NA,NA,80,"0","0",0,0,6
"135","Actinopterygii","Beloniformes","Hemiramphidae","Chriodorus atherinoides",NA,NA,NA,NA,26,NA,NA,84.19999695,"0","0",NA,NA,8
"136","Actinopterygii","Characiformes","Parodontidae","Apareiodon affinis",NA,NA,NA,NA,17,NA,NA,84.5,"0","0",0,0,6
"137","Actinopterygii","Cypriniformes","Cyprinidae","Acrossocheilus clivosius",NA,NA,NA,NA,20,NA,NA,84.90000153,"0","0",0,0,6
"138","Actinopterygii","Characiformes","Curimatidae","Curimatella immaculata",NA,NA,NA,NA,18.79999924,100,NA,90,"0","0",0,0,5
"139","Actinopterygii","Characiformes","Curimatidae","Cyphocharax nagelii",NA,NA,NA,NA,19,NA,NA,90,"0","0",0,0,6
"140","Actinopterygii","Aulopiformes","Chlorophthalmidae","Chlorophthalmus nigromarginatus",3,6,11.6952470217642,0.25,23,40000,NA,91,"0","0",0,0,1
"141","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinion macrostomum",NA,NA,NA,NA,20.39999962,NA,NA,91.19999695,"0","0",0,0,6
"142","Actinopterygii","Aulopiformes","Chlorophthalmidae","Chlorophthalmus brasiliensis",NA,NA,NA,NA,24.20000076,NA,NA,91.5,"0","0",0,0,6
"143","Actinopterygii","Characiformes","Characidae","Astyanax bimaculatus",NA,NA,NA,NA,17.5,NA,NA,91.59999847,"0","0",NA,0,7
"144","Actinopterygii","Perciformes","Percophidae","Bembrops caudimacula",NA,NA,NA,NA,24.10000038,NA,NA,94,"0","0",0,0,6
"145","Actinopterygii","Beloniformes","Exocoetidae","Exocoetus volitans",2.75,12.5,14.3713836365929,0.266666666666667,30,178816.6667,NA,96.6,"0","0",NA,0,2
"146","Actinopterygii","Siluriformes","Ariidae","Cathorops spixii",NA,NA,NA,NA,30,NA,NA,97.5,"0","0",0,0,6
"147","Actinopterygii","Perciformes","Cichlidae","Crenicichla geayi",NA,NA,NA,NA,18.39999962,NA,NA,99.30000305,"0","0",0,0,6
"148","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys spilopterus",NA,NA,NA,NA,21,NA,NA,99.40000153,"0","0",0,0,6
"149","Actinopterygii","Perciformes","Ammodytidae","Ammodytes hexapterus",NA,NA,NA,NA,30,NA,NA,100,"0","0",0,0,6
"150","Actinopterygii","Scorpaeniformes","Cyclopteridae","Eumicrotremus orbis",NA,NA,NA,NA,18,NA,NA,100,"0","0",0,0,6
"151","Actinopterygii","Siluriformes","Ariidae","Bagre bagre",NA,NA,NA,NA,55,NA,NA,101.1999969,"0","0",0,0,6
"152","Actinopterygii","Characiformes","Characidae","Astyanax magdalenae",NA,NA,NA,NA,17.29999924,NA,NA,108.0999985,"0","0",NA,0,7
"153","Actinopterygii","Characiformes","Serrasalmidae","Acnodon normani",NA,NA,NA,NA,19.89999962,NA,NA,110,"0","0",0,0,6
"154","Actinopterygii","Scorpaeniformes","Cottidae","Archistes biseriatus",NA,NA,NA,NA,16.44999981,NA,NA,110,"0","0",1,0,6
"155","Actinopterygii","Perciformes","Nomeidae","Cubiceps whiteleggii",NA,NA,NA,NA,21,NA,NA,110,"0","0",0,0,6
"156","Actinopterygii","Perciformes","Carangidae","Decapterus russelli",NA,NA,NA,NA,45,NA,NA,110,"0","0",0,0,6
"157","Actinopterygii","Cypriniformes","Cyprinidae","Cyprinion tenuiradius",NA,NA,NA,NA,19.5,NA,NA,110.0999985,"0","0",0,0,6
"158","Actinopterygii","Cypriniformes","Cyprinidae","Acrossocheilus paradoxus",NA,NA,NA,NA,22.5,NA,NA,111,"0","0",0,0,6
"159","Actinopterygii","Cypriniformes","Cyprinidae","Garra orientalis",NA,NA,NA,NA,20,NA,NA,111,"0","0",0,0,6
"160","Actinopterygii","Siluriformes","Auchenipteridae","Auchenipterichthys longimanus",NA,NA,NA,NA,22.79999924,NA,NA,112,"0","0",1,0,6
"161","Actinopterygii","Gymnotiformes","Sternopygidae","Eigenmannia virescens",NA,NA,NA,NA,44,NA,NA,113.5999985,"0","0",0,0,6
"162","Actinopterygii","Cypriniformes","Cyprinidae","Acrossocheilus parallens",NA,NA,NA,NA,21,NA,NA,115.9000015,"0","0",0,0,6
"163","Actinopterygii","Characiformes","Ctenoluciidae","Ctenolucius hujeta",NA,NA,NA,NA,26,195700,NA,119.1999969,"0","0",0,0,5
"164","Actinopterygii","Perciformes","Gerreidae","Eucinostomus argenteus",4,20.5,15.3459052630579,0.2,21.20000076,280000,NA,119.6600037,"0","0",0,0,1
"165","Actinopterygii","Perciformes","Carangidae","Alepes djedaba",NA,NA,NA,NA,40,NA,NA,124,"0","0",0,0,6
"166","Actinopterygii","Perciformes","Anabantidae","Ctenopoma kingsleyae",NA,NA,NA,NA,15.56999969,NA,NA,125,"0","0",0,0,6
"167","Actinopterygii","Siluriformes","Clariidae","Clariallabes platyprosopos",NA,NA,NA,NA,29.5,NA,NA,128,"0","0",0,0,6
"168","Actinopterygii","Anguilliformes","Muraenesocidae","Cynoponticus savanna",NA,NA,NA,NA,150,NA,NA,130,"0","0",0,0,6
"169","Actinopterygii","Siluriformes","Auchenipteridae","Ageneiosus militaris",NA,NA,NA,NA,30,NA,NA,135,"0","0",1,0,6
"170","Actinopterygii","Gymnotiformes","Sternopygidae","Eigenmannia humboldtii",NA,NA,NA,NA,48.59999847,NA,NA,138.3999939,"0","0",0,0,6
"171","Actinopterygii","Siluriformes","Ariidae","Aspistor luniscutis",NA,NA,NA,NA,120,NA,NA,144,"0","0",0,0,6
